"ph","Conductivity","Turbidity","Potability"
6.019539894497238,564.3086542000001,2.9631353810000003,1
3.716080075,592.8853591,4.500656275,1
8.099124189,418.6062131,3.05593375,0
8.316765884,363.2665162,4.628770537,1
9.092223456000001,398.41081339999994,4.075075425,1
5.584086638,280.4679159,2.5597082280000003,1
10.22386216,283.6516335,2.672988737,1
8.635848719,474.6076449,4.401424715,1
6.019539894497238,389.3755659,3.5950171810000002,1
11.18028447,563.8854815000001,4.370561937,1
7.360640106,425.3834195,3.662291783,0
7.974521649,364.0982305,4.011718108,0
7.119824384,347.71502730000003,3.445756223,0
6.019539894497238,379.76183480000003,4.4139741830000006,1
7.4962322079999995,444.6453523,4.777382337,1
6.347271761,516.7432819,4.376348291,1
7.051785799999999,315.14126719999996,4.268428858,0
9.181560007,477.9746419,4.503660796,1
8.975464348,431.44399000000004,2.43608559,1
7.371050302,469.91455149999996,2.560299148,1
6.019539894497238,554.8200865,4.1334226439999995,1
6.660212026,523.6712974999999,3.7497012410000004,1
6.019539894497238,436.25619400000005,5.459250956,1
3.9024756860000003,444.4788825,4.5285226960000005,1
5.4003017810000005,472.8740733,4.82478639,1
6.514415092999999,413.29045010000004,5.200885077,1
3.445061864,441.7858757,4.184396969,1
6.019539894497238,298.99066650000003,4.0048711280000004,1
6.019539894497238,364.48010669999996,3.991564248,1
6.019539894497238,563.8047432999999,6.038184952999999,1
7.181448581000001,342.1112863,5.0888599889999995,1
9.825489908,452.83623489999997,2.857472426,1
10.43329098,412.9868338,5.0573105169999995,1
7.414148196,411.9833642,3.160624468,0
6.019539894497238,383.981723,5.0291667239999995,1
5.115817064,441.74837930000007,3.902088768,1
3.641629777,456.8600959,3.464353035,1
5.618064406,399.4715663,2.8965469410000004,1
6.019539894497238,427.1306715,2.907563915,1
9.267187531,396.87694910000005,4.324004646000001,1
6.019539894497238,349.3996325,3.510004045,1
5.331940479,335.12039839999994,4.434820258,1
7.145771545,332.03270630000003,5.182590704,1
9.920691059,333.19246989999994,4.69070723,1
4.758439425,403.9441682,4.542801462,1
5.7029259770000005,504.6382603999999,4.137739016,1
6.953864226,391.1843151,3.195710328,0
10.68296643,323.8079132,3.9997753819999997,1
6.019539894497238,470.3291685,4.4055860000000004,1
8.757257397,404.7177992,3.626135442,1
6.019539894497238,383.79502,3.0480572230000003,1
7.809631897999999,605.2201244,2.447444464,1
6.652488091,545.9749937999999,3.7420904260000003,1
9.147197055,527.70891,3.794531591,1
10.56074464,456.55640210000007,3.96468635,1
7.484254837999999,404.6707773,4.781188177,1
8.520806573,481.3188027,3.94060453,1
4.999413811,405.33048199999996,4.460683932,1
